period_start,period_end,hospital_code,hospital,triage_category,measure_code,measure_name,measure_alias,value,units,source,fetched_utc
2011-07-01,2012-06-30,H0330,Box Hill Hospital,All patients,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,49.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Emergency,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,46.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Non-Urgent,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,85.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Not subsequently admitted patients,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,75.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Resuscitation,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,52.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Semi-Urgent,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,59.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Subsequently admitted patients,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,27.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Urgent,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,40.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Emergency,MYH0010,Percentage of patients who commenced treatment within the recommended time,pct_seen_on_time,86.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Non-Urgent,MYH0010,Percentage of patients who commenced treatment within the recommended time,pct_seen_on_time,87.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Resuscitation,MYH0010,Percentage of patients who commenced treatment within the recommended time,pct_seen_on_time,100.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Semi-Urgent,MYH0010,Percentage of patients who commenced treatment within the recommended time,pct_seen_on_time,64.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Urgent,MYH0010,Percentage of patients who commenced treatment within the recommended time,pct_seen_on_time,61.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Emergency,MYH0011,Number of patients presenting to the emergency department,presentations_count,7160.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Non-Urgent,MYH0011,Number of patients presenting to the emergency department,presentations_count,1703.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Resuscitation,MYH0011,Number of patients presenting to the emergency department,presentations_count,309.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Semi-Urgent,MYH0011,Number of patients presenting to the emergency department,presentations_count,14211.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Urgent,MYH0011,Number of patients presenting to the emergency department,presentations_count,20436.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,All patients,MYH0012,Number of patients presenting to the emergency department,presentations_count,46958.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Emergency,MYH0012,Number of patients presenting to the emergency department,presentations_count,7190.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Non-Urgent,MYH0012,Number of patients presenting to the emergency department,presentations_count,2192.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Not subsequently admitted patients,MYH0012,Number of patients presenting to the emergency department,presentations_count,21453.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Resuscitation,MYH0012,Number of patients presenting to the emergency department,presentations_count,309.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Semi-Urgent,MYH0012,Number of patients presenting to the emergency department,presentations_count,15875.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Subsequently admitted patients,MYH0012,Number of patients presenting to the emergency department,presentations_count,25505.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Urgent,MYH0012,Number of patients presenting to the emergency department,presentations_count,21345.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,All patients,MYH0013,Time until most patients (90%) departed the emergency department,p90_time_departed_min,551.0,minutes,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Not subsequently admitted patients,MYH0013,Time until most patients (90%) departed the emergency department,p90_time_departed_min,330.0,minutes,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Subsequently admitted patients,MYH0013,Time until most patients (90%) departed the emergency department,p90_time_departed_min,683.0,minutes,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,All patients,MYH0036,Median time (50%) patients departed emergency department,median_time_departed_min,244.0,minutes,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Not subsequently admitted patients,MYH0036,Median time (50%) patients departed emergency department,median_time_departed_min,165.0,minutes,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0330,Box Hill Hospital,Subsequently admitted patients,MYH0036,Median time (50%) patients departed emergency department,median_time_departed_min,341.0,minutes,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],All patients,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,61.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Emergency,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,47.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Non-Urgent,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,88.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Not subsequently admitted patients,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,82.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Resuscitation,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,44.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Semi-Urgent,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,71.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Subsequently admitted patients,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,27.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Urgent,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,49.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Emergency,MYH0010,Percentage of patients who commenced treatment within the recommended time,pct_seen_on_time,89.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Non-Urgent,MYH0010,Percentage of patients who commenced treatment within the recommended time,pct_seen_on_time,88.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Resuscitation,MYH0010,Percentage of patients who commenced treatment within the recommended time,pct_seen_on_time,100.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Semi-Urgent,MYH0010,Percentage of patients who commenced treatment within the recommended time,pct_seen_on_time,67.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Urgent,MYH0010,Percentage of patients who commenced treatment within the recommended time,pct_seen_on_time,70.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Emergency,MYH0011,Number of patients presenting to the emergency department,presentations_count,5667.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Non-Urgent,MYH0011,Number of patients presenting to the emergency department,presentations_count,2254.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Resuscitation,MYH0011,Number of patients presenting to the emergency department,presentations_count,199.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Semi-Urgent,MYH0011,Number of patients presenting to the emergency department,presentations_count,20667.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Urgent,MYH0011,Number of patients presenting to the emergency department,presentations_count,20455.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],All patients,MYH0012,Number of patients presenting to the emergency department,presentations_count,53233.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Emergency,MYH0012,Number of patients presenting to the emergency department,presentations_count,5674.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Non-Urgent,MYH0012,Number of patients presenting to the emergency department,presentations_count,2726.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Not subsequently admitted patients,MYH0012,Number of patients presenting to the emergency department,presentations_count,32768.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Resuscitation,MYH0012,Number of patients presenting to the emergency department,presentations_count,199.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Semi-Urgent,MYH0012,Number of patients presenting to the emergency department,presentations_count,23506.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Subsequently admitted patients,MYH0012,Number of patients presenting to the emergency department,presentations_count,20465.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Urgent,MYH0012,Number of patients presenting to the emergency department,presentations_count,20933.0,patients,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],All patients,MYH0013,Time until most patients (90%) departed the emergency department,p90_time_departed_min,496.0,minutes,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Not subsequently admitted patients,MYH0013,Time until most patients (90%) departed the emergency department,p90_time_departed_min,296.0,minutes,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Subsequently admitted patients,MYH0013,Time until most patients (90%) departed the emergency department,p90_time_departed_min,721.0,minutes,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],All patients,MYH0036,Median time (50%) patients departed emergency department,median_time_departed_min,199.0,minutes,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Not subsequently admitted patients,MYH0036,Median time (50%) patients departed emergency department,median_time_departed_min,143.0,minutes,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0332,Maroondah Hospital [East Ringwood],Subsequently admitted patients,MYH0036,Median time (50%) patients departed emergency department,median_time_departed_min,342.0,minutes,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0333,Angliss Hospital,All patients,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,69.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0333,Angliss Hospital,Emergency,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,49.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0333,Angliss Hospital,Non-Urgent,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,92.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0333,Angliss Hospital,Not subsequently admitted patients,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,88.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0333,Angliss Hospital,Resuscitation,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,49.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0333,Angliss Hospital,Semi-Urgent,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,73.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0333,Angliss Hospital,Subsequently admitted patients,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,32.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
2011-07-01,2012-06-30,H0333,Angliss Hospital,Urgent,MYH0005,Percentage of patients who depart the emergency department within four hours of arrival,pct_depart_within_4hr,60.0,percent,AIHW MyHospitals API,2026-04-26T03:37:58Z
