Organisation Description,Table Value ,Calendar Quarter Name
Albury Hospital,110.00,Oct - Dec 2024
Albury Hospital,98.00,Jan - Mar 2025
Albury Hospital,83.00,Apr - Jun 2025
Albury Hospital,71.00,Jul - Sep 2025
Albury Hospital,74.00,Oct - Dec 2025
Angliss Hospital,52.00,Oct - Dec 2024
Angliss Hospital,36.00,Jan - Mar 2025
Angliss Hospital,50.00,Apr - Jun 2025
Angliss Hospital,68.00,Jul - Sep 2025
Angliss Hospital,52.00,Oct - Dec 2025
Austin Hospital,88.00,Oct - Dec 2024
Austin Hospital,84.70,Jan - Mar 2025
Austin Hospital,87.00,Apr - Jun 2025
Austin Hospital,91.10,Jul - Sep 2025
Austin Hospital,88.00,Oct - Dec 2025
Bairnsdale Regional Health Service,56.00,Oct - Dec 2024
Bairnsdale Regional Health Service,63.00,Jan - Mar 2025
Bairnsdale Regional Health Service,53.00,Apr - Jun 2025
Bairnsdale Regional Health Service,56.00,Jul - Sep 2025
Bairnsdale Regional Health Service,62.00,Oct - Dec 2025
Ballarat Base Hospital,158.00,Oct - Dec 2024
Ballarat Base Hospital,136.00,Jan - Mar 2025
Ballarat Base Hospital,159.00,Apr - Jun 2025
Ballarat Base Hospital,160.00,Jul - Sep 2025
Ballarat Base Hospital,182.00,Oct - Dec 2025
Bendigo Hospital,97.00,Oct - Dec 2024
Bendigo Hospital,82.00,Jan - Mar 2025
Bendigo Hospital,81.00,Apr - Jun 2025
Bendigo Hospital,92.30,Jul - Sep 2025
Bendigo Hospital,71.00,Oct - Dec 2025
Box Hill Hospital,83.00,Oct - Dec 2024
Box Hill Hospital,78.00,Jan - Mar 2025
Box Hill Hospital,80.00,Apr - Jun 2025
Box Hill Hospital,80.00,Jul - Sep 2025
Box Hill Hospital,89.00,Oct - Dec 2025
Casey Hospital,31.00,Oct - Dec 2024
Casey Hospital,29.00,Jan - Mar 2025
Casey Hospital,31.00,Apr - Jun 2025
Casey Hospital,36.00,Jul - Sep 2025
Casey Hospital,30.00,Oct - Dec 2025
Dandenong Hospital,22.00,Oct - Dec 2024
Dandenong Hospital,18.00,Jan - Mar 2025
Dandenong Hospital,21.00,Apr - Jun 2025
Dandenong Hospital,23.00,Jul - Sep 2025
Dandenong Hospital,20.00,Oct - Dec 2025
Echuca Regional Health,96.00,Oct - Dec 2024
Echuca Regional Health,97.00,Jan - Mar 2025
Echuca Regional Health,100.00,Apr - Jun 2025
Echuca Regional Health,107.80,Jul - Sep 2025
Echuca Regional Health,107.00,Oct - Dec 2025
