Organisation Description,Table Value,Period Axis
Albury Hospital,2.42,Oct - Dec 2024
Albury Hospital,1.8,Jan - Mar 2025
Albury Hospital,3.64,Apr - Jun 2025
Albury Hospital,4.74,Jul - Sep 2025
Albury Hospital,3.59,Oct - Dec 2025
Angliss Hospital,0.03,Oct - Dec 2024
Angliss Hospital,0.01,Jan - Mar 2025
Angliss Hospital,0.08,Apr - Jun 2025
Angliss Hospital,0.77,Jul - Sep 2025
Angliss Hospital,0.93,Oct - Dec 2025
Austin Hospital,0,Oct - Dec 2024
Austin Hospital,0,Jan - Mar 2025
Austin Hospital,0,Apr - Jun 2025
Austin Hospital,0,Jul - Sep 2025
Austin Hospital,0,Oct - Dec 2025
Bairnsdale Regional Health Service,0.03,Oct - Dec 2024
Bairnsdale Regional Health Service,0.18,Jan - Mar 2025
Bairnsdale Regional Health Service,0.26,Apr - Jun 2025
Bairnsdale Regional Health Service,0.52,Jul - Sep 2025
Bairnsdale Regional Health Service,0.44,Oct - Dec 2025
Ballarat Base Hospital,2.71,Oct - Dec 2024
Ballarat Base Hospital,2.42,Jan - Mar 2025
Ballarat Base Hospital,4.88,Apr - Jun 2025
Ballarat Base Hospital,6.71,Jul - Sep 2025
Ballarat Base Hospital,4.62,Oct - Dec 2025
Bendigo Hospital,0.3,Oct - Dec 2024
Bendigo Hospital,0.38,Jan - Mar 2025
Bendigo Hospital,0.25,Apr - Jun 2025
Bendigo Hospital,1.09,Jul - Sep 2025
Bendigo Hospital,0.29,Oct - Dec 2025
Box Hill Hospital,0.09,Oct - Dec 2024
Box Hill Hospital,0.03,Jan - Mar 2025
Box Hill Hospital,0.65,Apr - Jun 2025
Box Hill Hospital,1.14,Jul - Sep 2025
Box Hill Hospital,1.8,Oct - Dec 2025
Casey Hospital,1.11,Oct - Dec 2024
Casey Hospital,0.92,Jan - Mar 2025
Casey Hospital,1.06,Apr - Jun 2025
Casey Hospital,1.29,Jul - Sep 2025
Casey Hospital,1.11,Oct - Dec 2025
Dandenong Hospital,1.01,Oct - Dec 2024
Dandenong Hospital,0.8,Jan - Mar 2025
Dandenong Hospital,1.27,Apr - Jun 2025
Dandenong Hospital,1.27,Jul - Sep 2025
Dandenong Hospital,1,Oct - Dec 2025
Echuca Regional Health,0.01,Oct - Dec 2024
Echuca Regional Health,0.03,Jan - Mar 2025
