Organisation Description,Table Value,Period Axis
Albury Hospital,50.89,Oct - Dec 2024
Albury Hospital,54.09,Jan - Mar 2025
Albury Hospital,56.13,Apr - Jun 2025
Albury Hospital,56.91,Jul - Sep 2025
Albury Hospital,55.4,Oct - Dec 2025
Angliss Hospital,53.83,Oct - Dec 2024
Angliss Hospital,59.36,Jan - Mar 2025
Angliss Hospital,51.97,Apr - Jun 2025
Angliss Hospital,47.95,Jul - Sep 2025
Angliss Hospital,53.52,Oct - Dec 2025
Austin Hospital,42.82,Oct - Dec 2024
Austin Hospital,42.84,Jan - Mar 2025
Austin Hospital,41.5,Apr - Jun 2025
Austin Hospital,37.29,Jul - Sep 2025
Austin Hospital,38.99,Oct - Dec 2025
Bairnsdale Regional Health Service,63.13,Oct - Dec 2024
Bairnsdale Regional Health Service,62.52,Jan - Mar 2025
Bairnsdale Regional Health Service,64.41,Apr - Jun 2025
Bairnsdale Regional Health Service,64.13,Jul - Sep 2025
Bairnsdale Regional Health Service,61.74,Oct - Dec 2025
Ballarat Base Hospital,42.58,Oct - Dec 2024
Ballarat Base Hospital,45.86,Jan - Mar 2025
Ballarat Base Hospital,42.65,Apr - Jun 2025
Ballarat Base Hospital,41.51,Jul - Sep 2025
Ballarat Base Hospital,42.7,Oct - Dec 2025
Bendigo Hospital,48.33,Oct - Dec 2024
Bendigo Hospital,47.85,Jan - Mar 2025
Bendigo Hospital,47.69,Apr - Jun 2025
Bendigo Hospital,43.73,Jul - Sep 2025
Bendigo Hospital,43.97,Oct - Dec 2025
Box Hill Hospital,41.67,Oct - Dec 2024
Box Hill Hospital,40.64,Jan - Mar 2025
Box Hill Hospital,40.41,Apr - Jun 2025
Box Hill Hospital,38.39,Jul - Sep 2025
Box Hill Hospital,38.54,Oct - Dec 2025
Casey Hospital,46.53,Oct - Dec 2024
Casey Hospital,45.5,Jan - Mar 2025
Casey Hospital,44.12,Apr - Jun 2025
Casey Hospital,38.95,Jul - Sep 2025
Casey Hospital,45.34,Oct - Dec 2025
Dandenong Hospital,45.19,Oct - Dec 2024
Dandenong Hospital,48.35,Jan - Mar 2025
Dandenong Hospital,40.39,Apr - Jun 2025
Dandenong Hospital,39.44,Jul - Sep 2025
Dandenong Hospital,49.39,Oct - Dec 2025
Echuca Regional Health,79.27,Oct - Dec 2024
Echuca Regional Health,76.21,Jan - Mar 2025
Echuca Regional Health,76.52,Apr - Jun 2025
Echuca Regional Health,73.31,Jul - Sep 2025
Echuca Regional Health,74.13,Oct - Dec 2025
Footscray Hospital,42.13,Oct - Dec 2024
Footscray Hospital,38.51,Jan - Mar 2025
Footscray Hospital,33.02,Apr - Jun 2025
Footscray Hospital,31.37,Jul - Sep 2025
Footscray Hospital,31.37,Oct - Dec 2025
Frankston Hospital,47.29,Oct - Dec 2024
Frankston Hospital,46.2,Jan - Mar 2025
Frankston Hospital,44.46,Apr - Jun 2025
Frankston Hospital,41.05,Jul - Sep 2025
Frankston Hospital,43.85,Oct - Dec 2025
Hamilton Base Hospital,84.73,Oct - Dec 2024
Hamilton Base Hospital,81.28,Jan - Mar 2025
Hamilton Base Hospital,79.79,Apr - Jun 2025
Hamilton Base Hospital,79.65,Jul - Sep 2025
Hamilton Base Hospital,80.41,Oct - Dec 2025
Latrobe Regional Hospital,40.2,Oct - Dec 2024
Latrobe Regional Hospital,40.43,Jan - Mar 2025
Latrobe Regional Hospital,40.13,Apr - Jun 2025
Latrobe Regional Hospital,39.76,Jul - Sep 2025
Latrobe Regional Hospital,39.14,Oct - Dec 2025
Maroondah Hospital,43.82,Oct - Dec 2024
Maroondah Hospital,43.81,Jan - Mar 2025
Maroondah Hospital,42.62,Apr - Jun 2025
Maroondah Hospital,40.97,Jul - Sep 2025
Maroondah Hospital,42.39,Oct - Dec 2025
Mercy Hospital for Women - Heidelberg,75.77,Oct - Dec 2024
Mercy Hospital for Women - Heidelberg,71.2,Jan - Mar 2025
Mercy Hospital for Women - Heidelberg,70.1,Apr - Jun 2025
Mercy Hospital for Women - Heidelberg,69.06,Jul - Sep 2025
Mercy Hospital for Women - Heidelberg,71.66,Oct - Dec 2025
Mildura Base Hospital,53.06,Oct - Dec 2024
Mildura Base Hospital,51.88,Jan - Mar 2025
Mildura Base Hospital,54.07,Apr - Jun 2025
Mildura Base Hospital,48.6,Jul - Sep 2025
Mildura Base Hospital,51.9,Oct - Dec 2025
Monash Medical Centre - Clayton,47.46,Oct - Dec 2024
Monash Medical Centre - Clayton,51.15,Jan - Mar 2025
Monash Medical Centre - Clayton,48.98,Apr - Jun 2025
Monash Medical Centre - Clayton,44.51,Jul - Sep 2025
Monash Medical Centre - Clayton,48.88,Oct - Dec 2025
Northeast Health Wangaratta,54.92,Oct - Dec 2024
Northeast Health Wangaratta,55.79,Jan - Mar 2025
Northeast Health Wangaratta,56.22,Apr - Jun 2025
Northeast Health Wangaratta,52.48,Jul - Sep 2025
Northeast Health Wangaratta,51.72,Oct - Dec 2025
Rosebud Hospital,61.2,Oct - Dec 2024
Rosebud Hospital,65.63,Jan - Mar 2025
Rosebud Hospital,66.01,Apr - Jun 2025
Rosebud Hospital,61.45,Jul - Sep 2025
Rosebud Hospital,63.25,Oct - Dec 2025
Sale Hospital,60.56,Oct - Dec 2024
Sale Hospital,57.13,Jan - Mar 2025
Sale Hospital,58.18,Apr - Jun 2025
