Organisation Description,Table Value ,Calendar Quarter Name
Albury Hospital,16.00,Oct - Dec 2024
Albury Hospital,13.00,Jan - Mar 2025
Albury Hospital,13.00,Apr - Jun 2025
Albury Hospital,11.00,Jul - Sep 2025
Albury Hospital,10.00,Oct - Dec 2025
Angliss Hospital,6.00,Oct - Dec 2024
Angliss Hospital,6.00,Jan - Mar 2025
Angliss Hospital,6.00,Apr - Jun 2025
Angliss Hospital,7.00,Jul - Sep 2025
Angliss Hospital,6.00,Oct - Dec 2025
Austin Hospital,7.00,Oct - Dec 2024
Austin Hospital,7.00,Jan - Mar 2025
Austin Hospital,7.00,Apr - Jun 2025
Austin Hospital,7.00,Jul - Sep 2025
Austin Hospital,7.00,Oct - Dec 2025
Bairnsdale Regional Health Service,12.00,Oct - Dec 2024
Bairnsdale Regional Health Service,13.00,Jan - Mar 2025
Bairnsdale Regional Health Service,11.00,Apr - Jun 2025
Bairnsdale Regional Health Service,11.00,Jul - Sep 2025
Bairnsdale Regional Health Service,11.00,Oct - Dec 2025
Ballarat Base Hospital,32.00,Oct - Dec 2024
Ballarat Base Hospital,25.00,Jan - Mar 2025
Ballarat Base Hospital,30.00,Apr - Jun 2025
Ballarat Base Hospital,26.00,Jul - Sep 2025
Ballarat Base Hospital,27.00,Oct - Dec 2025
Bendigo Hospital,15.00,Oct - Dec 2024
Bendigo Hospital,14.00,Jan - Mar 2025
Bendigo Hospital,12.00,Apr - Jun 2025
Bendigo Hospital,14.00,Jul - Sep 2025
Bendigo Hospital,11.00,Oct - Dec 2025
Box Hill Hospital,6.00,Oct - Dec 2024
Box Hill Hospital,5.00,Jan - Mar 2025
Box Hill Hospital,5.00,Apr - Jun 2025
Box Hill Hospital,6.00,Jul - Sep 2025
Box Hill Hospital,6.00,Oct - Dec 2025
Casey Hospital,10.00,Oct - Dec 2024
Casey Hospital,10.00,Jan - Mar 2025
Casey Hospital,10.00,Apr - Jun 2025
Casey Hospital,10.00,Jul - Sep 2025
Casey Hospital,9.00,Oct - Dec 2025
Dandenong Hospital,9.00,Oct - Dec 2024
Dandenong Hospital,8.00,Jan - Mar 2025
Dandenong Hospital,9.00,Apr - Jun 2025
Dandenong Hospital,9.00,Jul - Sep 2025
Dandenong Hospital,8.00,Oct - Dec 2025
Echuca Regional Health,16.00,Oct - Dec 2024
Echuca Regional Health,17.00,Jan - Mar 2025
Echuca Regional Health,17.00,Apr - Jun 2025
Echuca Regional Health,19.00,Jul - Sep 2025
Echuca Regional Health,18.00,Oct - Dec 2025
Footscray Hospital,14.00,Oct - Dec 2024
Footscray Hospital,16.00,Jan - Mar 2025
Footscray Hospital,20.00,Apr - Jun 2025
Footscray Hospital,22.00,Jul - Sep 2025
Footscray Hospital,24.00,Oct - Dec 2025
Frankston Hospital,7.00,Oct - Dec 2024
Frankston Hospital,6.00,Jan - Mar 2025
Frankston Hospital,6.00,Apr - Jun 2025
Frankston Hospital,7.00,Jul - Sep 2025
Frankston Hospital,7.00,Oct - Dec 2025
Hamilton Base Hospital,11.00,Oct - Dec 2024
Hamilton Base Hospital,12.00,Jan - Mar 2025
Hamilton Base Hospital,11.00,Apr - Jun 2025
Hamilton Base Hospital,13.00,Jul - Sep 2025
Hamilton Base Hospital,13.00,Oct - Dec 2025
Latrobe Regional Hospital,21.00,Oct - Dec 2024
Latrobe Regional Hospital,22.00,Jan - Mar 2025
Latrobe Regional Hospital,25.00,Apr - Jun 2025
Latrobe Regional Hospital,23.00,Jul - Sep 2025
Latrobe Regional Hospital,21.00,Oct - Dec 2025
Maroondah Hospital,6.00,Oct - Dec 2024
Maroondah Hospital,6.00,Jan - Mar 2025
Maroondah Hospital,6.00,Apr - Jun 2025
Maroondah Hospital,6.00,Jul - Sep 2025
Maroondah Hospital,7.00,Oct - Dec 2025
Mercy Hospital for Women - Heidelberg,17.00,Oct - Dec 2024
Mercy Hospital for Women - Heidelberg,18.00,Jan - Mar 2025
Mercy Hospital for Women - Heidelberg,17.00,Apr - Jun 2025
Mercy Hospital for Women - Heidelberg,18.00,Jul - Sep 2025
Mercy Hospital for Women - Heidelberg,16.00,Oct - Dec 2025
Mildura Base Hospital,17.00,Oct - Dec 2024
Mildura Base Hospital,18.00,Jan - Mar 2025
Mildura Base Hospital,17.00,Apr - Jun 2025
Mildura Base Hospital,18.00,Jul - Sep 2025
Mildura Base Hospital,18.00,Oct - Dec 2025
Monash Medical Centre - Clayton,9.00,Oct - Dec 2024
Monash Medical Centre - Clayton,9.00,Jan - Mar 2025
Monash Medical Centre - Clayton,10.00,Apr - Jun 2025
Monash Medical Centre - Clayton,9.00,Jul - Sep 2025
Monash Medical Centre - Clayton,8.00,Oct - Dec 2025
Northeast Health Wangaratta,17.00,Oct - Dec 2024
Northeast Health Wangaratta,23.00,Jan - Mar 2025
Northeast Health Wangaratta,20.00,Apr - Jun 2025
Northeast Health Wangaratta,20.00,Jul - Sep 2025
Northeast Health Wangaratta,24.00,Oct - Dec 2025
Rosebud Hospital,7.00,Oct - Dec 2024
Rosebud Hospital,6.00,Jan - Mar 2025
Rosebud Hospital,6.00,Apr - Jun 2025
Rosebud Hospital,6.00,Jul - Sep 2025
Rosebud Hospital,6.00,Oct - Dec 2025
Sale Hospital,12.00,Oct - Dec 2024
Sale Hospital,13.00,Jan - Mar 2025
Sale Hospital,12.00,Apr - Jun 2025
Sale Hospital,11.00,Jul - Sep 2025
Sale Hospital,10.00,Oct - Dec 2025
Sandringham Hospital,20.00,Oct - Dec 2024
Sandringham Hospital,18.00,Jan - Mar 2025
Sandringham Hospital,20.00,Apr - Jun 2025
Sandringham Hospital,22.00,Jul - Sep 2025
Sandringham Hospital,23.00,Oct - Dec 2025
Shepparton Campus,23.00,Oct - Dec 2024
Shepparton Campus,23.00,Jan - Mar 2025
Shepparton Campus,25.00,Apr - Jun 2025
Shepparton Campus,24.00,Jul - Sep 2025
Shepparton Campus,23.00,Oct - Dec 2025
St Vincent's Hospital Melbourne,22.00,Oct - Dec 2024
St Vincent's Hospital Melbourne,20.00,Jan - Mar 2025
St Vincent's Hospital Melbourne,19.00,Apr - Jun 2025
St Vincent's Hospital Melbourne,19.00,Jul - Sep 2025
St Vincent's Hospital Melbourne,22.00,Oct - Dec 2025
Statewide,12.00,Oct - Dec 2024
Statewide,12.00,Jan - Mar 2025
Statewide,12.00,Apr - Jun 2025
Statewide,13.00,Jul - Sep 2025
Statewide,12.00,Oct - Dec 2025
Sunshine Hospital,17.00,Oct - Dec 2024
Sunshine Hospital,17.00,Jan - Mar 2025
Sunshine Hospital,18.00,Apr - Jun 2025
Sunshine Hospital,19.00,Jul - Sep 2025
Sunshine Hospital,19.00,Oct - Dec 2025
Swan Hill District Health,15.00,Oct - Dec 2024
Swan Hill District Health,15.00,Jan - Mar 2025
Swan Hill District Health,14.00,Apr - Jun 2025
Swan Hill District Health,11.00,Jul - Sep 2025
Swan Hill District Health,11.00,Oct - Dec 2025
The Alfred,17.00,Oct - Dec 2024
The Alfred,17.00,Jan - Mar 2025
The Alfred,18.00,Apr - Jun 2025
The Alfred,20.00,Jul - Sep 2025
The Alfred,22.00,Oct - Dec 2025
The Northern Hospital - Epping,16.00,Oct - Dec 2024
The Northern Hospital - Epping,16.00,Jan - Mar 2025
The Northern Hospital - Epping,17.00,Apr - Jun 2025
The Northern Hospital - Epping,17.00,Jul - Sep 2025
The Northern Hospital - Epping,18.00,Oct - Dec 2025
The Royal Children's Hospital Melbourne,15.00,Oct - Dec 2024
The Royal Children's Hospital Melbourne,15.00,Jan - Mar 2025
The Royal Children's Hospital Melbourne,16.00,Apr - Jun 2025
The Royal Children's Hospital Melbourne,18.00,Jul - Sep 2025
The Royal Children's Hospital Melbourne,16.00,Oct - Dec 2025
The Royal Melbourne Hospital - City Campus,15.00,Oct - Dec 2024
The Royal Melbourne Hospital - City Campus,15.00,Jan - Mar 2025
The Royal Melbourne Hospital - City Campus,17.00,Apr - Jun 2025
The Royal Melbourne Hospital - City Campus,19.00,Jul - Sep 2025
The Royal Melbourne Hospital - City Campus,18.00,Oct - Dec 2025
The Royal Victorian Eye and Ear Hospital,19.00,Oct - Dec 2024
