Organisation Description,Table Value,Period Axis
Albury Hospital,62.61,Oct - Dec 2024
Albury Hospital,66.02,Jan - Mar 2025
Albury Hospital,69.17,Apr - Jun 2025
Albury Hospital,71.37,Jul - Sep 2025
Albury Hospital,69.06,Oct - Dec 2025
Angliss Hospital,58.18,Oct - Dec 2024
Angliss Hospital,64.47,Jan - Mar 2025
Angliss Hospital,55.84,Apr - Jun 2025
Angliss Hospital,50.95,Jul - Sep 2025
Angliss Hospital,59.02,Oct - Dec 2025
Austin Hospital,56.23,Oct - Dec 2024
Austin Hospital,54.29,Jan - Mar 2025
Austin Hospital,54.05,Apr - Jun 2025
Austin Hospital,48.8,Jul - Sep 2025
Austin Hospital,49.91,Oct - Dec 2025
Bairnsdale Regional Health Service,75.04,Oct - Dec 2024
Bairnsdale Regional Health Service,75.04,Jan - Mar 2025
Bairnsdale Regional Health Service,77.1,Apr - Jun 2025
Bairnsdale Regional Health Service,77.47,Jul - Sep 2025
Bairnsdale Regional Health Service,74.37,Oct - Dec 2025
Ballarat Base Hospital,50.39,Oct - Dec 2024
Ballarat Base Hospital,53.45,Jan - Mar 2025
Ballarat Base Hospital,49.81,Apr - Jun 2025
Ballarat Base Hospital,47.26,Jul - Sep 2025
Ballarat Base Hospital,49.44,Oct - Dec 2025
Bendigo Hospital,59.64,Oct - Dec 2024
Bendigo Hospital,58.28,Jan - Mar 2025
Bendigo Hospital,58.02,Apr - Jun 2025
Bendigo Hospital,52.75,Jul - Sep 2025
Bendigo Hospital,54.17,Oct - Dec 2025
Box Hill Hospital,53.79,Oct - Dec 2024
Box Hill Hospital,52.96,Jan - Mar 2025
Box Hill Hospital,51.17,Apr - Jun 2025
Box Hill Hospital,47.7,Jul - Sep 2025
Box Hill Hospital,46.17,Oct - Dec 2025
Casey Hospital,54.01,Oct - Dec 2024
Casey Hospital,52.69,Jan - Mar 2025
Casey Hospital,49.51,Apr - Jun 2025
Casey Hospital,42.29,Jul - Sep 2025
Casey Hospital,49.06,Oct - Dec 2025
Dandenong Hospital,56.21,Oct - Dec 2024
Dandenong Hospital,58.79,Jan - Mar 2025
Dandenong Hospital,49.83,Apr - Jun 2025
Dandenong Hospital,47.9,Jul - Sep 2025
Dandenong Hospital,59.31,Oct - Dec 2025
Echuca Regional Health,87.44,Oct - Dec 2024
Echuca Regional Health,84.18,Jan - Mar 2025
Echuca Regional Health,84.88,Apr - Jun 2025
Echuca Regional Health,81.43,Jul - Sep 2025
Echuca Regional Health,83.28,Oct - Dec 2025
Footscray Hospital,44.31,Oct - Dec 2024
Footscray Hospital,39.73,Jan - Mar 2025
Footscray Hospital,35.67,Apr - Jun 2025
Footscray Hospital,30.98,Jul - Sep 2025
Footscray Hospital,30.95,Oct - Dec 2025
Frankston Hospital,55.84,Oct - Dec 2024
Frankston Hospital,54.32,Jan - Mar 2025
Frankston Hospital,54.83,Apr - Jun 2025
Frankston Hospital,49.43,Jul - Sep 2025
Frankston Hospital,52.99,Oct - Dec 2025
Hamilton Base Hospital,90.53,Oct - Dec 2024
Hamilton Base Hospital,87.33,Jan - Mar 2025
Hamilton Base Hospital,87.05,Apr - Jun 2025
Hamilton Base Hospital,86.08,Jul - Sep 2025
Hamilton Base Hospital,86.17,Oct - Dec 2025
Latrobe Regional Hospital,45.8,Oct - Dec 2024
Latrobe Regional Hospital,48.1,Jan - Mar 2025
Latrobe Regional Hospital,48.37,Apr - Jun 2025
Latrobe Regional Hospital,47.11,Jul - Sep 2025
Latrobe Regional Hospital,45.39,Oct - Dec 2025
Maroondah Hospital,54.53,Oct - Dec 2024
Maroondah Hospital,52.83,Jan - Mar 2025
Maroondah Hospital,52.34,Apr - Jun 2025
Maroondah Hospital,50.25,Jul - Sep 2025
Maroondah Hospital,51.41,Oct - Dec 2025
Mercy Hospital for Women - Heidelberg,81.69,Oct - Dec 2024
Mercy Hospital for Women - Heidelberg,77.08,Jan - Mar 2025
Mercy Hospital for Women - Heidelberg,74.96,Apr - Jun 2025
Mercy Hospital for Women - Heidelberg,74.5,Jul - Sep 2025
Mercy Hospital for Women - Heidelberg,78.02,Oct - Dec 2025
Mildura Base Hospital,59.41,Oct - Dec 2024
Mildura Base Hospital,58.79,Jan - Mar 2025
Mildura Base Hospital,61.14,Apr - Jun 2025
Mildura Base Hospital,54.95,Jul - Sep 2025
Mildura Base Hospital,59,Oct - Dec 2025
Monash Medical Centre - Clayton,59.56,Oct - Dec 2024
Monash Medical Centre - Clayton,62.86,Jan - Mar 2025
Monash Medical Centre - Clayton,57.74,Apr - Jun 2025
Monash Medical Centre - Clayton,52.17,Jul - Sep 2025
Monash Medical Centre - Clayton,58.95,Oct - Dec 2025
Northeast Health Wangaratta,64.47,Oct - Dec 2024
Northeast Health Wangaratta,66.42,Jan - Mar 2025
Northeast Health Wangaratta,66.94,Apr - Jun 2025
Northeast Health Wangaratta,60.99,Jul - Sep 2025
Northeast Health Wangaratta,59.4,Oct - Dec 2025
Rosebud Hospital,65.08,Oct - Dec 2024
Rosebud Hospital,68.83,Jan - Mar 2025
Rosebud Hospital,69.36,Apr - Jun 2025
Rosebud Hospital,66.46,Jul - Sep 2025
Rosebud Hospital,66.12,Oct - Dec 2025
Sale Hospital,67.66,Oct - Dec 2024
Sale Hospital,63.83,Jan - Mar 2025
Sale Hospital,65.74,Apr - Jun 2025
Sale Hospital,67.27,Jul - Sep 2025
Sale Hospital,68.39,Oct - Dec 2025
Sandringham Hospital,78.66,Oct - Dec 2024
Sandringham Hospital,83.37,Jan - Mar 2025
Sandringham Hospital,82.91,Apr - Jun 2025
Sandringham Hospital,79.55,Jul - Sep 2025
Sandringham Hospital,77.96,Oct - Dec 2025
Shepparton Campus,59.63,Oct - Dec 2024
Shepparton Campus,57.27,Jan - Mar 2025
Shepparton Campus,59.28,Apr - Jun 2025
Shepparton Campus,54.56,Jul - Sep 2025
Shepparton Campus,57.66,Oct - Dec 2025
St Vincent's Hospital Melbourne,53.61,Oct - Dec 2024
St Vincent's Hospital Melbourne,51.84,Jan - Mar 2025
St Vincent's Hospital Melbourne,56.07,Apr - Jun 2025
St Vincent's Hospital Melbourne,53.83,Jul - Sep 2025
St Vincent's Hospital Melbourne,52.68,Oct - Dec 2025
Statewide,63.62,Oct - Dec 2024
Statewide,63.38,Jan - Mar 2025
Statewide,62.25,Apr - Jun 2025
Statewide,57.14,Jul - Sep 2025
Statewide,59.08,Oct - Dec 2025
