hospital,network,quarter,quarter_start_utc,quarter_end_utc,wait_p90_mins,wait_median_cat123_mins,wait_median_cat45_mins,los_pct_under_4hr,los_pct_over_24hr,non_admitted_los_pct_under_4hr,source,data_class
Angliss Hospital,Eastern Health,Oct - Dec 2024,2024-09-30T14:00:00Z,2024-12-31T13:00:00Z,52.0,6.0,5.0,53.83,0.03,58.18,VAHI,public-aggregate
Angliss Hospital,Eastern Health,Jan - Mar 2025,2024-12-31T13:00:00Z,2025-03-31T13:00:00Z,36.0,6.0,5.0,59.36,0.01,64.47,VAHI,public-aggregate
Angliss Hospital,Eastern Health,Apr - Jun 2025,2025-03-31T13:00:00Z,2025-06-30T14:00:00Z,50.0,6.0,6.0,51.97,0.08,55.84,VAHI,public-aggregate
Angliss Hospital,Eastern Health,Jul - Sep 2025,2025-06-30T14:00:00Z,2025-09-30T14:00:00Z,68.0,7.0,6.0,47.95,0.77,50.95,VAHI,public-aggregate
Angliss Hospital,Eastern Health,Oct - Dec 2025,2025-09-30T14:00:00Z,2025-12-31T13:00:00Z,52.0,6.0,6.0,53.52,0.93,59.02,VAHI,public-aggregate
Box Hill Hospital,Eastern Health,Oct - Dec 2024,2024-09-30T14:00:00Z,2024-12-31T13:00:00Z,83.0,6.0,7.0,41.67,0.09,53.79,VAHI,public-aggregate
Box Hill Hospital,Eastern Health,Jan - Mar 2025,2024-12-31T13:00:00Z,2025-03-31T13:00:00Z,78.0,5.0,6.0,40.64,0.03,52.96,VAHI,public-aggregate
Box Hill Hospital,Eastern Health,Apr - Jun 2025,2025-03-31T13:00:00Z,2025-06-30T14:00:00Z,80.0,5.0,6.0,40.41,0.65,51.17,VAHI,public-aggregate
Box Hill Hospital,Eastern Health,Jul - Sep 2025,2025-06-30T14:00:00Z,2025-09-30T14:00:00Z,80.0,6.0,6.0,38.39,1.14,47.7,VAHI,public-aggregate
Box Hill Hospital,Eastern Health,Oct - Dec 2025,2025-09-30T14:00:00Z,2025-12-31T13:00:00Z,89.0,6.0,6.0,38.54,1.8,46.17,VAHI,public-aggregate
Casey Hospital,Monash Health,Oct - Dec 2024,2024-09-30T14:00:00Z,2024-12-31T13:00:00Z,31.0,10.0,11.0,46.53,1.11,54.01,VAHI,public-aggregate
Casey Hospital,Monash Health,Jan - Mar 2025,2024-12-31T13:00:00Z,2025-03-31T13:00:00Z,29.0,10.0,11.0,45.5,0.92,52.69,VAHI,public-aggregate
